Date,CDIAnnual,Master
09/21/2012,0.073501245,-0.001138424
09/24/2012,0.073501245,-0.002755013
09/25/2012,0.073501245,-0.000356406
09/26/2012,0.073798777,-0.002971479
09/27/2012,0.073698689,-0.002458733
09/28/2012,0.073601315,-0.00044835
10/01/2012,0.073601315,-0.005575901
10/02/2012,0.073601315,0.000500503
10/03/2012,0.073501245,0.000190394
10/04/2012,0.073601315,0.000255499
10/05/2012,0.073601315,0.003750154
10/08/2012,0.073601315,0.018827788
10/09/2012,0.073601315,-0.008457736
10/10/2012,0.073501245,0.00467827
10/11/2012,0.073301133,-0.006879415
10/15/2012,0.07040099,0.001185504
10/16/2012,0.07040099,0.001134916
10/17/2012,0.070500772,0.000672813
10/18/2012,0.070600563,-0.001069221
10/19/2012,0.070800173,-0.003083659
10/22/2012,0.070800173,-0.005285546
10/23/2012,0.071199505,-0.001456242
10/24/2012,0.071199505,-0.004523288
10/25/2012,0.071299361,-0.00386247
10/26/2012,0.071099658,-0.008525441
10/29/2012,0.070899992,0.000319533
10/30/2012,0.070800173,-0.004947657
10/31/2012,0.070700364,-0.00015938
11/01/2012,0.070899992,-0.003340191
11/05/2012,0.071099658,-0.000792277
11/06/2012,0.071199505,-0.000476665
11/07/2012,0.071199505,-0.000318198
11/08/2012,0.071299361,0.000315953
11/09/2012,0.070899992,0.003571071
11/12/2012,0.070899992,0.000582917
11/13/2012,0.070700364,0.005990662
11/14/2012,0.070600563,0.001739251
11/16/2012,0.070600563,-0.000235742
11/19/2012,0.070500772,0.003505815
11/20/2012,0.070301218,-0.000158755
11/21/2012,0.070099004,0.00402508
11/22/2012,0.069899524,0.016052051
11/23/2012,0.070899992,-0.002136464
11/26/2012,0.071199505,-0.01672579
11/27/2012,0.071299361,-0.004386194
11/28/2012,0.071199505,-0.003797516
11/29/2012,0.071099658,0.009983332
11/30/2012,0.070700364,0.018109278
12/03/2012,0.070600563,0.025565782
12/04/2012,0.070700364,-0.003281995
12/05/2012,0.070700364,0.0004735
12/06/2012,0.070600563,-0.012211936
12/07/2012,0.070500772,0.029237651
12/10/2012,0.07040099,-0.028351612
12/11/2012,0.070099004,-0.00799705
12/12/2012,0.069700082,-0.002600497
12/13/2012,0.069700082,0.005819955
12/14/2012,0.069500676,-0.003157692
12/17/2012,0.06899963,0.001070887
12/18/2012,0.068899987,0.000231664
12/19/2012,0.06870073,0.005200818
12/20/2012,0.068399222,-0.000606405
12/21/2012,0.068498818,-0.021358436
12/24/2012,0.06870073,-0.000158756
12/26/2012,0.06870073,-0.003604487
12/27/2012,0.06899963,0.008506839
12/28/2012,0.06899963,0.002224153
12/31/2012,0.06899963,-0.000158755
01/02/2013,0.06899963,0.006690772
01/03/2013,0.069198943,-0.001025488
01/04/2013,0.069198943,0.009178328
01/07/2013,0.069301307,0.001189899
01/08/2013,0.069198943,0.006337455
01/09/2013,0.069099282,-0.010036611
01/10/2013,0.06899963,0.000940775
01/11/2013,0.069099282,0.00476225
01/14/2013,0.069198943,-0.0087898
01/15/2013,0.069301307,0.003820827
01/16/2013,0.069400987,-0.000392734
01/17/2013,0.069400987,-0.010785395
01/18/2013,0.069400987,0.003201213
01/21/2013,0.069198943,-0.004968013
01/22/2013,0.069301307,0.002697994
01/23/2013,0.069301307,-0.001792821
01/24/2013,0.069301307,0.002790802
01/25/2013,0.069301307,-0.000158755
01/28/2013,0.069400987,0.005506127
01/29/2013,0.069400987,0.020910291
01/30/2013,0.069500676,0.011107032
01/31/2013,0.069500676,-0.002263254
